2867,0
1335,0
3268,0
1974,0
81,1
1352,0
296,1
1030,1
1919,0
1642,0
2758,0
3201,0
1211,1
2104,0
3659,0
1222,1
2998,0
966,1
683,1
2672,0
1508,1
1503,0
1282,1
3669,0
2391,0
1422,1
2688,0
2099,0
258,1
3087,0
756,1
2955,0
1106,1
701,0
2423,0
3622,1
2032,0
239,0
595,1
808,1
440,1
2873,0
643,1
1809,0
1792,0
1176,1
175,1
3072,0
215,1
158,1
535,1
1753,0
1019,0
1742,0
2507,0
882,1
103,1
819,1
1262,1
2261,0
240,0
3224,0
3636,0
795,1
2565,0
3293,0
1042,1
3040,0
2665,1
45,0
46,1
2098,0
333,1
1638,1
2379,0
267,0
3629,0
1172,1
1599,0
2175,0
3225,0
782,1
59,1
3001,0
870,1
1781,0
2684,0
3145,0
803,1
2469,0
991,1
3217,0
2690,0
1062,1
310,1
2105,0
3077,0
1732,0
1611,0
433,1
2207,0
1445,1
908,1
3630,0
3436,0
3466,0
2298,0
2869,0
1418,1
1804,0
369,1
606,1
2831,0
189,1
1463,1
1075,0
1476,0
2380,0
2601,0
552,1
1495,0
1968,0
1223,1
355,0
241,1
677,1
1796,0
1284,1
1259,1
3600,0
3565,0
1689,0
1133,1
1814,0
1801,0
1672,0
603,1
2285,0
1323,1
600,1
153,1
745,1
1883,0
3012,0
2085,0
2273,0
347,1
1428,1
2453,0
2692,0
1290,1
1910,0
1341,1
1643,0
1000,1
179,1
3655,0
3169,0
2535,0
1951,0
1953,0
174,1
2822,0
332,1
1587,0
431,1
2290,0
2019,0
3345,0
2989,0
480,1
1475,1
1703,0
1507,0
3481,1
1547,0
1654,0
2708,1
325,1
1118,1
777,1
2004,0
3028,0
1616,0
62,1
658,1
1555,0
255,1
2494,0
2070,0
3325,0
1867,0
222,1
1675,0
2553,0
89,0
872,1
2620,0
1346,0
1898,0
1189,1
1515,0
3165,0
3314,0
3054,0
2645,0
1289,1
2964,0
1698,0
2604,0
284,1
275,1
2981,0
3475,1
2010,0
2340,0
424,0
2767,0
507,1
2709,0
3296,0
2771,0
904,0
550,0
558,1
786,1
443,1
3059,0
219,1
1851,1
3352,0
2016,0
3511,0
2196,0
3116,0
2655,0
3627,0
3672,0
812,1
1264,1
3055,0
2237,0
2677,0
1232,1
977,1
579,1
2781,0
1,1
3535,0
3538,0
1989,0
1147,1
2765,0
248,1
3142,0
3096,0
3002,0
791,1
1678,0
1345,0
176,1
279,1
3605,0
810,1
1193,1
719,1
2534,0
1179,0
417,1
3368,0
218,1
3134,0
3020,1
3281,1
2577,0
3649,0
2168,1
1235,0
3678,0
450,1
1357,0
1374,1
1162,1
2546,0
2329,0
434,1
692,1
372,1
3022,0
2209,0
713,1
3086,0
645,0
1238,1
2949,0
1392,1
806,1
2898,0
3350,0
247,1
3356,0
506,1
1552,0
2182,0
1897,0
3665,0
3427,0
830,1
949,1
2114,0
1840,0
2226,0
2751,0
3452,0
544,1
1129,1
3449,0
1589,0
3208,0
613,1
3147,0
3510,1
2638,1
486,1
2406,0
3493,0
1053,0
259,1
1963,0
1205,1
2834,0
1539,0
2652,0
2120,0
210,1
3334,0
1069,1
3463,0
2482,0
1927,0
597,1
1663,0
1879,0
297,1
2092,0
508,1
8,1
2703,0
2845,0
1727,0
1812,0
2879,0
3379,0
1668,1
3545,0
2572,0
1054,1
926,1
3582,1
3287,0
97,1
44,1
894,1
1214,1
1252,1
26,1
2901,0
680,1
